ID в ИС ГТИБД,Название,Название (англ.),Тип,Страна,Адрес,Район,Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Время работы,Доступно для лиц с ограниченными возможностями,Геопозиция,ОГРН,ИНН
4295,Центральный военно-морской музей,The Central Naval Museum,гос. федеральное учреждение,Россия,"190000, Санкт-Петербург, Большая Морская ул., 69 а",Адмиралтейский,+7(812)3038513;,www.navalmuseum.ru,info@navalmuseum.ru,Один из старейших музеев России и один из крупнейших в мире музеев военно-морской тематики. Музей расположен в историческом здании Крюковых (Морских) казарм.,The museum is one of the oldest Russian museums and one of the world's largest naval museums. It is located in the historical building of Kryukov (Naval) quarters.,"11.00-18.00, выходные дни - понедельник, вторник",нет,"59.928465,30.294668",1037800001777.0,7801018179.0
4296,"Центральный военно-морской музей, ""Кронштадтская крепость"" (Кронштадский Морской Собор)","The Central Naval Museum, ""Kronshtadt Fortress""",гос. федеральное учреждение,Россия,"189610, Санкт-Петербург, г. Кронштадт, Якорная пл., 1",Кронштадтский,601-09-94,www.navalmuseum.ru,info@navalmuseum.ru,"Располагается в здании Морского собора. В собрании музея представлены документы, фотографии, образцы оружия, модели и макеты кораблей, ордена и знамена.","The museum is located in the Naval Cathedral. The museum fund includes documents, photos, weapon, ship models, orders and flags.","11.00-18.00, выходные дни - понедельник, вторник",нет,"59.99161,29.777723",1097800004510.0,7843001804.0
4297,"Центральный военно-морской музей, Крейсер ""Аврора""","The Central Naval Museum, Cruiser ""Aurora""",гос. федеральное учреждение,Россия,"197046, Санкт-Петербург, Петроградская наб.",Петроградский,+7 (812) 607-49-22,aurora.org.ru,info@navalmuseum.ru,"Судно представляет собой бронепалубный крейсер 1900 года и является в наши дни музейный объектом. Одновременно ""Аврора"" является и самым старым судном Российского флота, находящимся в строю.","The ship is a 1900 Russian protected cruiser, currently preserved as a museum ship. In the same time Aurora stands today as the oldest commissioned ship of the Russian Navy.","с 11:00 до 18:00 — среда–воскресенье
Касса закрывается в 17:15
Выходные дни: понедельник-вторник",нет,"59.960967,30.334814",1037800001777.0,7801018179.0
4298,"Центральный военно-морской музей, Мемориальный комплекс ""Подводная лодка Д-2 ""Народоволец""","The Central Naval Museum, Memorial Complex ""Submarine D-2 ""Narodovoletz""",гос. федеральное учреждение,Россия,"199106, Санкт-Петербург, В.О., Шкиперский проток, 10",Василеостровский,"+7(812)3565266; 356-52-77, 969-99-35",www.navalmuseum.ru,info@navalmuseum.ru,Экспозиция посвящена истории подводной лодки Д-2 и действиям советских моряков-подводников в годы Великой Отечественной войны.,The exposition is dedicated to the history of submarine D-2 and activities of Soviet submariners during the II World War.,"11.00-18.00, выходные дни: понедельник, вторник и последний четверг каждого месяца. Только экскурсионное обслуживание",нет,"59.933505,30.232298",1037800001777.0,7801018179.0
4299,"Центральный выставочный зал ""Манеж""",Manege Central Exhibition Hall,гос. городское учреждение,Россия,"190000, Санкт-Петербург, Исаакиевская пл., 1",Адмиралтейский,+7 812 611 11 00,www.manege.spb.ru,info@manege.spb.ru,Здание манежа для обучения верховой езде Императорской конной гвардии. Здание построено по проекту Д. Кваренги в 1804-1807 гг. в строгом неоклассическом стиле. На сегодняшний день Манеж -крупнейший выставочный зал Санкт-Петербурга.,The Manege is a former riding academy for the Imperial Horse Guards. It was built in 1804-1807 to D. Quarenghi's austere Neoclassical design. Today the Manege is the largest exhibition hall in St. Petersburg.,Зависит от  выставочного проекта.,нет,"59.933658,30.304226",1057806877974.0,7826735629.0
4300,Центральный музей железнодорожного транспорта Российской Федерации,The Central Railway Transport Museum of Russian Federation,гос. федеральное учреждение,Россия,"190068, Санкт-Петербург, ул. Садовая, 50
Весенне-летний период: Фондовая площадка ""Пионерский парк"", вся информация по тлф 315-14-76.
Выставка ""Отечественное мостостроение"" в Красном селе 326-43-90",Адмиралтейский,+7 (812) 315-14-76,cmzt.narod.ru,cmrt1813@yandex.ru,"Музей основан в 1813 году. Основная экспозиция музея, наряду с подлинными предметами техники содержит уникальные модели паровозов, вагонов, мостов. В настоящее время коллекции музея отражают историю всех составляющих железнодорожного транспорта.","The museum was founded in 1813, it displays unique models of steam locomotives, cars, bridges, along with original technical items. It reflects the history of each historical part of railway transportation in Russia.","Музей работает ЕЖЕДНЕВНО с 10.30 до 17.30
Касса работает до 17.00
Санитарный день: последний четверг каждого месяца.",нет,"59.924294,30.31373",1027810320306.0,7826661166.0
4302,Центральный музей почвоведения им. В.В. Докучаева Российской сельскохозяйственной академии,The V.V. Dokuchaev Central Museum of the Russian Academy of Agricultural Sciences,гос. федеральное учреждение,Россия,"199034, Санкт-Петербург, Биржевой проезд, 6",Василеостровский,+7 (812) 328-54-02,музей-почвоведения.рф,soilmuseum@bk.ru,Центральный музей почвоведения им. В.В. Докучаева является одним из крупнейших в мире музеев почвенно-экологического профиля. Музей является хранителем богатейшей коллекции почв из различных природных зон мира.,The museum is one of the largest pedological museums in the world. The museum has the biggest collection of soils from different natural zones of the Earth.,"Понедельник - пятница: с 10.00 до 17.00 часов, только по предварительной записи. 
Вторник: с 10.00 до 17.00 часов вход свободный, без экскурсионного обслуживания.

На экскурсии и Дни Рождения необходима предварительная запись
Тел.: (812) 328-54-02",нет,"59.943674,30.301297",1037800034403.0,7801009150.0
4303,Центральный музей связи имени А.С. Попова,The A.S. Popov Central Museum of Communications,гос. федеральное учреждение,Россия,"190000, Санкт-Петербург, Почтамтская ул., 7 (Почтамтский пер., 4)",Адмиралтейский,+7 (812) 571-00-60,www.rustelecom-museum.ru,info@rustelecom-museum.ru,"Основан в 1872 году. Уникальную коллекцию музея, посвященную истории развития средств связи, составляют экспонаты по истории почтовой, телеграфной и телефонной связи, радиосвязи и радиовещания, телевидения, мобильной, космической и спутниковой связи.","The museum was founded in 1872. Its unique collection, dedicated to the history of communications facilities, includes exhibits describing the history of post, telegraph and telephone, radiocommunication and radiobroadcasting, television, mobile, space and satellite communications.","10:30-18:00, выходные дни - воскресенье, понедельник и последний четверг каждого месяца
Экскурсии проводятся только по предварительной записи, за исключением индивидуальных обзорных экскурсий по постоянной экспозиции.",нет,"59.932315,30.302501",1027810276845.0,7812033274.0
4304,Центральный научно-исследовательский геологоразведочный музей им. академика Ф.Н. Чернышева,The F. N. Chernishev Central Research Geological Prospecting,гос. федеральное учреждение,Россия,"199106, Санкт-Петербург, Средний пр., В.О., 74",Василеостровский,+7(812)3215399;,http://www.vsegei.ru/ru/structure/information/museum/,cnigr_museum@vsegei.ru,"Коллекция музея рассказывает о геологическом строении, истории геологического развития и месторождениям полезных ископаемых всех регионов России и стран СНГ.
Одним из уникальных экспонатов музея является памятник российского камнерезного искусства 30-х годов XX века - панно «Индустрия социализма», выполненное в технике флорентийской и русской мозаики из ювелирно-поделочных камней.","The museum's collection reflects geological structure, history of geological development and deposits of commercial minerals in Russia and CIS countries.","10.00 - 17.00, выходные дни - суббота, воскресение, последняя пятница месяца",нет,"59.9422,30.243877",1037858007758.0,7801028995.0
4305,Церковно-археологический музей Санкт-Петербургской Православной Духовной Академии,Museum Of St. Petersburg Orthodox Academy,ведомственное учреждение,Россия,"193167, Санкт-Петербург, наб. Обводного канала, 17",Центральный,+7(812)7173350;,http://spbda.ru/about/museum-of-academy/,spbpda@yandex.ru,"В музее представлены коллекции предметов церковной старины, иконописи, религиозной живописи, графики, нумизматики, рукописных и старопечатных книг.","In the museum are displayed collections of church wares, icon and religious painting, drawings, numismatics, manuscripts and blackletter books.","Время проведения экскурсий: в будние дни включая субботу в 15:00, в воскресные дни и церковные праздники в 13:00.

Для записи на экскурсию необходимо подать прошение на имя ректора СПбДА архиепископа Петергофского Амвросия на электронную почту музея:  museum.spbda@mail.ru",нет,"59.917623,30.383835",1037858007758.0,7825661004.0
4306,Юсуповский дворец,The Yusupov  Palace,негосударственное учреждение,Россия,"190000, Санкт-Петербург, наб. р. Мойки, 94",Адмиралтейский,+7(812)3149883;,www.yusupov-palace.ru,excursion@yusupov-palace.ru 3148893@yusupov-palace.ru,"Юсуповский дворец – уникальный архитектурный ансамбль XVIII-XX в.в., памятник истории и культуры федерального значения, снискавший славу «энциклопедии» петербургского аристократического интерьера.
Дворец вошел в отечественную историю и как место убийства Григория Распутина – сибирского крестьянина, ставшего в начале XX века духовным наставником и другом семьи императора Николая II.","The Yusupov  Palace is a unique  architectural ensemble of XVIII-XX centuries. It features original interiors, the rooms are decorated in various styles. The building is also known as a place where Grigori Rasputin was murdered. A peasant which was close to the Emperor Nicolas II and the Royal Family.","Юсуповский дворец (набережная р. Мойки, 94)
открыт ежедневно: 11.00 – 18.00
кассы работают ежедневно: 10.45 – 17.00

Конюшенный флигель (вход с ул. Декабристов, 21):
На время работы выставок: 12.00 – 19.00, выходные - понедельник, пятница
Расписание выставок и других мероприятий смотрите в разделе «Календарь»

Домовая церковь Покрова Пресвятой Богородицы (вход через Юсуповский дворец, набережная р. Мойки, 94)
Службы проходят каждую среду в 10.00.

Парк дворца Юсуповых (вход с ул. Декабристов, 21):
Открыт ежедневно: 9.00 – 21.00
Вход свободный

Посещение экспозиций дворца осуществляется в сопровождении экскурсовода или с аудиогидом.",нет,"59.929384,30.299043",1079847156014.0,7838399072.0
4307,"Государственный историко-художественный дворцово-парковый музей-заповедник ""Гатчина""",Gatchina Palace and Estate Museum,городские (комитет по культуре),Россия,"188307, Ленинградская область, г. Гатчина, Красноармейский пр., 1",Ленинградская область,"+7 (812) 958-03-66 (справочное);
+7 (81371) 93-492 (заказ экскурсий); 
+7 (81371) 76-715 (заказ экскурсий)",gatchinapalace.ru,"museum_gatchina@mail.ru, excursion@gatchinapalace.ru",Дворцово-парковый ансамбль XVIII-XIX вв.,Series of palaces and gardens of XVIII-XIX centuries,"10:00-18:00, выходные дни — пн и первый вт месяца
Гатчинский парк
ежедневно с 06:00 до 22:00, вход - свободный!",нет,"59.563337,30.105968",1024701249385.0,4705007122.0
4308,"Государственный музей-заповедник ""Павловск""","The State Museum ""Pavlovsk""",Городские (комитет по культуре),Россия,"196621, Санкт-Петербург, г. Павловск, ул. Садовая, 20",Пушкинский,+7 (812) 452-15-36,pavlovskmuseum.ru,palace@pavlovskmuseum.ru,Дворцово-парковый ансамбль конца XVIII - начала XIX  в. и летняя резиденция императора Павла I.,The palace-and-park ensemble of late XVIII - early XIX century and the summer residence of the Emperor Pavel I.,"парк: C 01 мая по 31 августа 2021 года Павловский парк открыт для посещения ежедневно:
•	с 07:00 до 09:00 и с 21:00 до 23:00 вход бесплатный;
•	с 09:00 до 21:00 вход платный.
Павловский дворец
Открыт для посещения с 10:00 до 18:00.
Время работы кассы на Парадном плацу с 10:00 до 17:00.
Вход в Павловский дворец закрывается в 17:15.
Основные экспозиции (Центральный корпус)
Выходной день: понедельник.",нет,"59.68514,30.454101",1027809016234.0,7822002853.0
4309,"Государственный музей-заповедник ""Петергоф"". Филиал ""Ораниенбаум""","State Museum Complex ""Peterhof"". ""Oranienbaum"" Complex",федеральные (Министерство Культуры РФ),Россия,"198412, Санкт-Петербург, г. Ломоносов, Дворцовый пр., 48",Петродворцовый,+7 (812) 313-23-14,peterhofmuseum.ru,samson@peterhofmuseum.ru,"Старейший дворцово-парковый ансамбль 18-начала 20 в., сохранившийся в годы Великой Отечественной войны в своей исторической достоверности","The oldest palace-and-park ensemble of the 18th-early 20th century, which survived World War II in its historic condition","•	С 24 апреля 2021 парк Ораниенбаум открыт ежедневно с 9:00 до 20:00. С 24 Большой Меншиковский дворец открыт ежедневно, кроме вторника (выходной) и последней среды каждого месяца (санитарный день).
•	Во дворце действуют экскурсионные сеансы для индивидуальных посетителей: 12:00-13:30 и 15:00-16:30.",нет,"59.915643,29.760368",1027808916442.0,7813045498.0
4310,"Государственный музей-заповедник ""Петергоф""","State Museum Complex ""Peterhof""",федеральные (Министерство Культуры РФ),Россия,"198516, Санкт-Петербург, г. Петергоф, Разводная ул., 2",Петродворцовый,+7 (812) 313-23-14,peterhofmuseum.ru,samson@peterhofmuseum.ru,"Летняя резиденция русских царей 18-19 вв., великолепный дворцово-парковый ансамбль","Russian tsars' summer residence of 18th-19th centuries, the brilliant palace-and-park ensemble","С 24 апреля Нижний парк открыт ежедневно с 9:00 до 20:00.
Большой Петергофский дворец
Кассы
10:30-16:45
Сеансы для индивидуальных посетителей: 10:30-12:00, 14:30-16:00

Время посещения
10:30-18:00
Вход в музей до 17:00",нет,"59.883864,29.905688",1027808916442.0,7813045498.0
4311,"Государственный художественно-архитектурный дворцово-парковый музей-заповедник ""Царское Село""",Tsarskoye Selo State Museum-Preserve,федеральные (Министерство Культуры РФ),Россия,"196601, Санкт-Петербург, г. Пушкин, Садовая ул., 7",Пушкинский,"(812) 415-76-67
(812) 415-76-68
(812) 465-20-24",tzar.ru,museum@tzar.ru,"Царскосельский дворцово-парковый ансамбль — блестящий памятник мировой архитектуры и садово-паркового искусства XVIII — начала XX века. Целое созвездие выдающихся зодчих, скульпторов, живописцев воплощало здесь замыслы венценосных заказчиков. В Царском Селе сосредоточены лучшие образцы архитектуры барокко и классицизма;",The heart of the palace-and-park ensemble is the Catherine Palace that is known for the world-famous Amber Room.,"Екатерининский дворец - с 10:00 до 18:00; кассы до 16:45
Выходные дни: вторник  и последний понедельник месяца.
Взрослые – 1200 руб.
Студенты – 610 руб.
Лица младше 16 лет – бесплатно (обязательно оформление входного билета)


Екатерининский парк
Вход в парк открыт с до 31 июля с 7:00 до 23:00. 
Взрослые - 150 руб.
Пенсионеры - 50 руб.
Курсанты, студенты, члены союзов художников РФ, сотрудники гос. музеев России - 80 руб.
Лица младше 16 лет, Сотрудники государственных музеев СПБ, члены Творческого союза СПБ и ЛО, члены ICOM  – бесплатно


Александровский парк
вход в парк до 31 июля открыт с 7:00 до 23:00; 
вход свободный, работает без выходных.",нет,"59.716052,30.395612",1027809016234.0,7822002853.0
10334,Детский музей открытки,Children's Museum of Postcards,частный,Россия,"197198, Санкт-Петербург, Пионерская ул., 2",Петроградский,"+7 (812) 233-10-07, +7(921) 405-44-89",artgarden.spb.ru/nindex.php?id=museum,4054489@mail.ru,"Детский Музей Открытки — единственный не только в России музей открыток. Коллекция музея началась с 17 000 открыток, подаренных Российской Национальной Библиотекой (дар Е.К. Ромадановской). Сейчас в коллекции 500 000 открыток. В нее вошли коллекции Л.В. Дьяконова и В.П. Третьякова. В музее хранится архив Ленинградского клуба филокартистов (1958-1998). Принцип формирования коллекции – генеральная коллекция (открытки всех видов и всех стран). Музей проводит выставки и оказывает помощь в подборе открыток по любым темам.",Children's Museum of Postcards is only one museum in Russia dedicated to postcards. A museum collection takes roots from 17 000 postcards that had been donated by the Russian National Library (Romadanovskaya E.K.). Nowadays it includes 500 000 postcards and D'yakonov L.V. and Tret'yakov V.P. collections as well. Postcards of former Leningrad Club of Deltiologists (1958-1998) are retained there.  The main principe of the collection is general collection (postcards of all types from all over the world). The museum organizes exhibitions and provides support in selection of postcards on any themes.,"Вторник-суббота с 12:00 до 19:00
Выходные — воскресенье, понедельник.",нет,"59.955061,30.296222",,
12749,Музей Фаберже,Faberge Museum,частный,Россия,"191011, Санкт-Петербург, наб. реки Фонтанки, 21",Центральный,+7 (812) 333-26-55,fabergemuseum.ru,3332655@fsv.ru,"Музей Фаберже в Санкт-Петербурге создан для сохранения, изучения и популяризации культурного наследия России, а также для развития музейной инфраструктуры города. Основу собрания музея составляет крупнейшая в мире коллекция произведений фирмы Карла Фаберже, включающая в себя девять знаменитых императорских пасхальных яиц. Они обладают огромной ценностью не только как предметы высочайшего ювелирного мастерства, но и как уникальные исторические артефакты. Также в собрании музея – коллекции произведений декоративно-прикладного искусства, созданных русскими мастерами во второй половине XIX – начале XX веков. Музей располагается в Шуваловском дворце на набережной реки Фонтанки – одном из красивейших дворцов Санкт-Петербурга.","Fabergé Museum in St. Petersburg was founded to preserve, study, and promote Russia's cultural heritage as well as to develop the city's extensive network of museums. The museum's collection contains the world's largest collection of works by Carl Fabergé, including nine of the famous Imperial Easter Eggs, regarded not only as the finest jeweled works of art, but also as unique historical artifacts. The museum's collection also includes decorative and applied works made by the Russian masters of the late 19th  and early 20th centuries. The museum is located in the Shuvalov Palace on the Fontanka River - one of the most beautiful palaces in St. Petersburg.",пн-вс: 10:00-21:00 (кассы: 9:30-20:15),нет,"59.934867,30.342997",1137800010270.0,7841291600.0
12752,Музей подводная лодка С-189,C-189 Submarine Museum,Региональное общественное учреждение культуры,Россия,"199034, Санкт-Петербург, наб. Лейтенанта Шмидта, 31А",Василеостровский,+7 (904) 613-70-99,museum-s-189.ru,c-189@mail.ru,"""С-189"" – последняя (на территории РФ) из 215 советских средних дизель-электрических торпедных подводных лодок проекта 613 – самого массового типа лодок, построенных после Великой Отечественной войны.",,"ср-вс: 11:00-19:00 (вход до 18:00) 
пн-вт: выходной",нет,"59.933726,30.277034",1097800002772.0,7813204162.0
12753,Музей «ХХ лет после войны». Музей повседневной культуры Ленинграда 1945-1965 годов,,частный,Россия,"199004, Санкт-Петербург, 4-я линия В.О., 19-11",Василеостровский,"+7 (911) 747-23-01;
+7 (911) 747-24-02",1945-1965.com,1945-1965@mail.ru,"Посетив наш музей, Вы окажетесь в атмосфере послевоенного Ленинграда, почувствуете пульс его жизни, прикоснетесь к вещам, наполнявшими жизнь ленинградцев.",,"пт 11:00-19:00
вс 11:00-19:00
По предварительной записи - в любое удобное время",нет,"59.942417,30.283223",1147800003340.0,7801351846.0
12754,Музей Кофе,Coffee Museum,частный,Россия,"191123, Санкт-Петербург, Воскресенская наб., 14",Центральный,+7 812 679 99 66,mcof.ru,ilove@mcof.ru,"Музей Кофе - один из самых необычных и интересных музеев Санкт-Петербурга - создан для любителей и ценителей настоящего кофе. Каждый пришедший узнает много интересного об истории напитка, а также о регионах произрастания и производства кофе, вариантах его обжарки, популярных рецептах и способах приготовления.",,"Музей открыт ежедневно
с 11:00 до 20:00
Начало последней экскурсии в 19:00
Магазин и кофейня открыты до 20:00",нет,"59.949465,30.364584",1147847095846.0,7842495036.0
12755,ЛабиринтУм интерактивный научный музей,LabirintUm,частный,Россия,"197022, Санкт-Петербург, ул. Льва Толстого, 9А",Петроградский,+7 (812) 328-00-08,labirint-um.ru,info@labirint-um.ru,"Интерактивный музей занимательной науки. Здесь представлены экспонаты, при помощи которых дети могут играючи познавать законы физики. Каждая зона ""ЛабиринтУма"" включает экспонаты, иллюстрирующие действие законов тех или иных областей физики.",,"пн-вс 11:00-19:00
касса до 18:00.",нет,"59.965124,30.31567",1107847354823.0,7813484537.0
12758,"Государственный музейно-выставочный центр ""Росфото""",State Russian Museum and Exhibition Centre ROSPHOTO,федеральные (Министерство Культуры РФ),Россия,"190031, Санкт-Петербург, ул. Б. Морская, 35 лит М",Адмиралтейский,+7(812) 500 7000,rosphoto.org,office@rosphoto.org,"РОСФОТО осуществляет деятельность по всем направлениям актуальной проблематики, связанной с фотографией и изображением: выставочные, научно-исследовательские и образовательные программы в области визуальной культуры.","ROSPHOTO acts within the problems of photography and images providin exhibition, research and educational programs on the sphere of visual art.","Пн, ср, Сб, Вс,
11:00–19:00
перерыв на проветривание:
в Парадном корпусе с 14:00 до 14:30
в Дворовом корпусе с 14:30 до 15:00
Вт, Чт, Пт,
12:00–21:00
перерывы на проветривание:
в Парадном корпусе с 15:00 до 15:30 и с 18:30 до 19:00
в Дворовом корпусе с 14:00 до 14:30 и с 17:30 до 18:00",нет,"59.933307,30.310433",1027806860740.0,7813173210.0
12760,Гранд Макет Россия,Grand Maket Rossiya,частный,Россия,"196006, Санкт-Петербург, ул. Цветочная, 16",Московский,+7 (812) 495-54-65,grandmaket.ru,info@grandmaket.ru,"На макетном поле площадью почти 800 м² объединены собирательные образы городов и регионов России. Динамику и насыщенность макету придают сотни движущихся составов и автомобилей, световые и звуковые эффекты, тысячи миниатюрных фигурок, составляющих жанровые сценки. А удивительный эффект смены дня и ночи не оставляет равнодушным ни одного посетителя.","On the layout area of 800 square meters you will see the generalized images of cities and regions of Russia. Hundreds of moving trains and cars, sound and light effects add dynamics to the exposition and thousands of tiny figures make the genre scenes. Add the astonishing effect of day and night changing doesn`t leave a single visitors indifferent.","пн-вс 10:00-20:00 (кассы до 19:15)

Взрослый (с 14 лет) - 680 руб.
Детский (с 3 до 13 лет) - 420 руб.
Льготная категория (только по понедельникам, кроме праздничных дней) - 320-420 руб.
Фото и видео съемка бесплатно

Обзорная экскурсия познакомит с самыми интересными фактами о создании музея, макетостроении и секретами экспозиции. Преимущество экскурсии - экскурсовод, который использует индивидуальные радиогиды для Вашего комфорта. Продолжительность экскурсии 60 минут.

Стоимость экскурсии на русском языке - 3800р.
Стоимость экскурсии на английском языке - 5500р.
(группа от 1 до 10 человек включительно).
Входные билеты оплачиваются дополнительно.",да,"59.887458,30.33113",1089848056770.0,7810537935.0
12761,"Интерактивный музей-театр ""Сказкин Дом"" на Горьковской","Interactive museum-theater ""Skazkin Dom"" at Gorkovskaya",частный,Россия,"197198, Санкт-Петербург, Александровский парк, 1а",Петроградский,+7 (812) 612-75-26,skazkindom.ru,info@skazkindom.ru,"Музей «Сказкин Дом» уникален прежде всего тематикой своих экспонатов: гости оказываются внутри волшебного города, среди героев популярных русских и зарубежных сказок. В отличие от традиционных музейных экспозиций, современный интерактивный формат музея «Сказкин Дом» позволяет детям и взрослым побывать «в гостях» у сказочных персонажей.","Museum ""Skazkin House"" is unique primarily   for its theme exhibits, guests find themselves within a magical city, among the heroes of popular Russian and foreign fairy tales. Unlike from  traditional museum exhibitions, modern interactive format of the Museum ""Skazin House"" allows children and adults to go ""away"" from the fairy-tale characters","Ежедневно с 10:00 до 20:00

В Сказкином Доме есть экскурсионные программы для детей разных возрастных категорий. Каждая детская экскурсия разработана педагогами и специалистами детского развития в соответствии с возрастными особенностями и потребностями ребенка.
Дети старше 5 лет могут отправиться на экскурсию самостоятельно. Детям до 5 лет включительно требуется сопровождение взрослого. Билет для взрослого приобретается отдельно.",нет,"59.953615,30.309212",1097847159299.0,7813445577.0
12763,Музей советских игровых автоматов,Museum of Soviet Arcade Machines,частный,Россия,"191186, Санкт-Петербург, Конюшенная пл., 2, лит. В",Центральный,+7 (812) 740-02-40,15kop.ru,0rub@15kop.ru,"Музей возвращает посетителей в счастливое детство. Время, в котором было столько интересного: любимые герои мультиков и персонажи журнала «Мурзилка», олимпийский мишка и мороженое «Лакомка».","Museum brings back visitors to a happy childhood. The time when there were so many interesting things: favorite cartoon heroes and characters of the magazine ""Murzilka"" Olympic Bear and ice cream ""Lakomka"".",Ежедневно с 11:00 до 20:00,нет,"59.940154,30.326073",,
12764,Музей иллюзий,Museum of Illusions,частный,Россия,"191186, Санкт-Петербург, ул. Большая Морская, д. 3-5",Центральный,+7 (812) 938-55-06,big-funny.com,info@big-funny.com,"Прогуляться по крышам Питера, спастись от зомби или стать жертвой Франкенштейна - каждый, вошедший в двери этого МУЗЕЯ ИЛЛЮЗИЙ, станет полноправным участником картин, созданных лучшими художниками и бутафорами. Целых 3 этажа фона для ярких, интересных и необычных фотографий – это   один из самых больших музеев иллюзии в Европе.","Walk on the roofs of Peterburg, to escape from the zombies, or become a victim of Frankenstein - everyone who entered the doors of the museum of illusion becomes a full member of paintings created by the best artists and props.  There are 3 floors of  bright, interesting and unusual photos -  it is one of  the biggest museum of illusions  in Europe.",пн-вс 11:00-00:00,нет,"59.937296,30.317305",,
12765,"Исторический театр-макет ""Петровская акватория""",Historical Theatre-Maket Petrovskaya Akvatoriya,частный,Россия,"191186, Санкт-Петербург, ул. Малая Морская, 4/1, ТРК «Адмирал»",Центральный,+7 (812) 933-41-52,peteraqua.ru,info@peteraqua.ru,"Исторический театр-макет «Петровская Акватория» - это уникальная экспозиция, посвященная истории возникновения Северной столицы и зарождения российского флота. 
""Петровская Акватория"" - большой макет Петербурга 18 века, представляющий собой реконструкцию наиболее значимых достопримечательностей Петербурга и пригородов, связанных с морской историей города в масштабе 1:87. Центральную часть экспозиции занимает заполненная водой чаша, изображающая акваторию города, а по периметру расположены макеты архитектурных ансамблей Петербурга, обращенных к водному пространству. Все объекты, в том числе утраченные, воссозданы так, как они выглядели в середине восемнадцатого века.","«Petrovskaya Akvatoria » - it’s a large scale model of St. Petersburg of 18th century.
It shows the reconstruction of the most significant sights of Saint-Petersburg and its suburbs, related to the Maritime history of the city in the scale of 1:87.
There is a water filled space, in the center of the exhibit , which imitates the water area of the city and on the periphery – models of architectural ensembles, facing the water.
All objects, including the lost, are recreated in the way they looked in the middle of the 18th century. Reconstruction of the architectural ensembles and landscape is not the main point of the exhibit.
It is only the decoration, in which unfolds a picture of life in the city in the time of the great Russian emperors from Peter I till Catherine the Great.
The originality of the exhibition is given by moving objects (figures of people, carriages, ships), light, sound and visual effects, which reliably reproduce the day and night cycle and also the change of the weather.
Different scenarios of the theatricalized actions are switched on both according the timetable and by pressing special buttons.
The own developments and know-how were used to implement the scenarios. Spit (Strelka) of Vasilyevsky Island without Rostral Columns, Menshikov’s homestead instead SpbGU (St. Petersburg State University), the first port of St. Petersburg, Masquerade in Peterhof, no longer existing fortress in Oranienbaum - all this was hard to imagine, but now you can see it with your own eyes!
Here are recreated ancient estates, parks, palaces. Some of them we will never see again...","Музей работает с 10:00 до 22:00 
касса дл 21:20. 
В часы работы музея возможно как самостоятельное посещение, 
так и посещение с экскурсиями (экскурсии каждый час).",нет,"59.936034,30.314637",1137847181405.0,7806501950.0
12766,"Музей живых бабочек ""Тропический рай""",Museum of live butterflies,частный,Россия,"192102, Санкт-Петербург, ул. Бухарестская, д. 30/32",Фрунзенский,+7 (812) 923-24-70,i-butterfly.ru,i.butterfly.museum@gmail.com,"Уникальность музея состоит в том, что под одной крышей собраны виды тропических бабочек с разных континентов, которые в естественной среде никогда бы не встретились. А посетители могут их видеть одновременно. Есть инсектарий, в котором можно увидеть живые куколки тропических бабочек , а также рождение бабочки.","The uniqueness of this museum lies in the fact that under one roof there are species of tropical butterflies from different continents, which in the wild would you have  never  met. And visitors can see them at the same time. There is  insectarium, where you can see live chrysalis of tropical butterflies, as well as the birth of a butterfly",пн-вс 10:00-22:00 (по записи),нет,"59.883151,30.370001",1127847101920.0,7840466047.0
12768,Музей стрит-арта,Street Art Museum,частный,Россия,"195248, Санкт-Петербург, ш. Революции, 84 (вход с Индустриального пр.)",Красногвардейский,+7 (812) 448-15-93 (доб. 415),streetartmuseum.ru,info@streetartmuseum.ru,"Музей уличного искусства находится на действующем производстве на востоке Петербурга. Принципы объединения индустриальной постсоветсткой эстетики, обнаженного нерва реальной жизни и молодого уличного искусства в общественном пространстве можно назвать основными тезисами проекта. Расположенный на работающем заводе далеко за пределами исторического центра и основных артерий культурной жизни города, музей уже второй сезон становится точкой притяжения для активной аудитории.","The museum of street art is on the manufacture in the east of St. Petersburg. It is possible to call the principles of association of an industrial post Soviet period esthetics, a naked nerve of real life and young street art in public space the main theses of the project. Located at the working plant it is far outside historic center and the main arteries of cultural life of the city, the museum already the second season becomes an attraction point for active audience.","сб, вс: 12:00-22:00",нет,"59.961287,30.452726",,7806290354.0
